Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Cost_Price
PROD0139,Premium Personal Care 139,Grocery,Personal Care,101.12,67.56
PROD0140,Pro Staples 140,Grocery,Staples,182.31,100.15
PROD0141,Pro Storage 141,Home & Kitchen,Storage,152.83,88.6
PROD0142,Advanced Storage 142,Home & Kitchen,Storage,54.01,31.46
PROD0143,Premium Cookware 143,Home & Kitchen,Cookware,219.55,139.82
PROD0144,Pro Audio 144,Electronics,Audio,50.0,26.05
PROD0145,Classic Snacks 145,Grocery,Snacks,206.36,110.58
PROD0146,Everyday Accessories 146,Clothing,Accessories,50.0,38.15
PROD0147,Classic Appliances 147,Home & Kitchen,Appliances,97.88,77.77
PROD0148,Pro Storage 148,Home & Kitchen,Storage,67.87,53.94
PROD0149,Advanced Mobiles 149,Electronics,Mobiles,50.0,28.18
PROD0150,Premium Stationery 150,Office Supplies,Stationery,50.0,33.45
PROD0151,Smart Accessories 151,Electronics,Accessories,298.38,204.27
PROD0152,Smart Mobiles 152,Electronics,Mobiles,206.91,163.67
PROD0153,Advanced Printers 153,Office Supplies,Printers,79.67,57.03
PROD0154,Smart Footwear 154,Clothing,Footwear,111.78,76.73
PROD0155,Classic Snacks 155,Grocery,Snacks,80.46,51.13
PROD0156,Everyday Printers 156,Office Supplies,Printers,123.92,95.19
PROD0157,Smart Furniture 157,Home & Kitchen,Furniture,328.74,269.33
PROD0158,Premium Mobiles 158,Electronics,Mobiles,73.52,40.03
PROD0159,Eco Personal Care 159,Grocery,Personal Care,93.32,51.69
PROD0160,Classic Accessories 160,Electronics,Accessories,426.79,220.08
PROD0161,Everyday Snacks 161,Grocery,Snacks,70.13,57.38
PROD0162,Premium Furniture 162,Home & Kitchen,Furniture,50.0,27.15
PROD0163,Everyday Womenswear 163,Clothing,Womenswear,62.95,44.91
PROD0164,Everyday Appliances 164,Home & Kitchen,Appliances,50.0,38.06
PROD0165,Classic Footwear 165,Clothing,Footwear,50.0,38.09
PROD0166,Advanced Accessories 166,Electronics,Accessories,50.0,25.37
PROD0167,Smart Beverages 167,Grocery,Beverages,50.0,40.87
PROD0168,Advanced Laptops 168,Electronics,Laptops,186.6,96.37
PROD0169,Everyday Personal Care 169,Grocery,Personal Care,163.46,127.47
PROD0170,Pro Accessories 170,Clothing,Accessories,153.91,111.94
PROD0171,Essential Accessories 171,Clothing,Accessories,64.85,45.2
PROD0172,Essential Snacks 172,Grocery,Snacks,50.0,37.17
PROD0173,Classic Office Equipment 173,Office Supplies,Office Equipment,88.69,47.87
PROD0174,Advanced Printers 174,Office Supplies,Printers,71.55,43.13
PROD0175,Eco Office Equipment 175,Office Supplies,Office Equipment,54.14,42.82
PROD0176,Everyday Furniture 176,Home & Kitchen,Furniture,242.96,158.33
PROD0177,Everyday Beverages 177,Grocery,Beverages,60.05,42.86
PROD0178,Premium Womenswear 178,Clothing,Womenswear,77.28,51.1
PROD0179,Premium Audio 179,Electronics,Audio,128.35,98.71
PROD0180,Everyday Laptops 180,Electronics,Laptops,50.0,27.92
PROD0181,Advanced Furniture 181,Home & Kitchen,Furniture,90.92,55.75
PROD0182,Premium Accessories 182,Clothing,Accessories,104.37,64.95
PROD0183,Pro Furniture 183,Home & Kitchen,Furniture,87.79,51.76
PROD0184,Premium Laptops 184,Electronics,Laptops,118.93,72.66
PROD0185,Eco Printers 185,Office Supplies,Printers,50.0,30.06
PROD0186,Essential Personal Care 186,Grocery,Personal Care,232.12,145.64
PROD0187,Pro Furniture 187,Home & Kitchen,Furniture,50.0,38.83
PROD0188,Everyday Footwear 188,Clothing,Footwear,50.0,32.31
PROD0189,Premium Office Equipment 189,Office Supplies,Office Equipment,56.6,37.28
PROD0190,Essential Mobiles 190,Electronics,Mobiles,50.0,29.21
PROD0191,Premium Storage 191,Home & Kitchen,Storage,53.71,31.35
PROD0192,Smart Mobiles 192,Electronics,Mobiles,50.0,26.16
PROD0193,Advanced Menswear 193,Clothing,Menswear,50.0,28.62
PROD0194,Eco Mobiles 194,Electronics,Mobiles,50.49,38.74
PROD0195,Premium Mobiles 195,Electronics,Mobiles,50.0,36.29
PROD0196,Pro Audio 196,Electronics,Audio,53.91,37.86
PROD0197,Pro Office Equipment 197,Office Supplies,Office Equipment,110.11,67.58
PROD0198,Pro Audio 198,Electronics,Audio,112.46,92.21
PROD0199,Advanced Cookware 199,Home & Kitchen,Cookware,50.0,27.73
PROD0200,Pro Appliances 200,Home & Kitchen,Appliances,50.0,30.45
