Order_Item_ID,Order_ID,Product_ID,Quantity,Discount,Unit_Price,Cost_Price,Revenue,Cost,Profit,Profit_Margin
ITEM0000060,ORD011149,PROD0038,4,0.0,242.25,132.52,969.0,530.08,438.92,0.453
ITEM0000061,ORD011581,PROD0166,1,0.1,50.0,25.37,45.0,25.37,19.63,0.4362
ITEM0000062,ORD018017,PROD0095,5,0.1,50.0,39.79,225.0,198.95,26.05,0.1158
ITEM0000063,ORD006718,PROD0137,1,0.1,50.0,31.74,45.0,31.74,13.26,0.2947
ITEM0000064,ORD013992,PROD0145,2,0.0,206.36,110.58,412.72,221.16,191.56,0.4641
ITEM0000065,ORD019735,PROD0135,4,0.1,87.37,53.75,314.53,215.0,99.53,0.3164
ITEM0000066,ORD004968,PROD0109,2,0.0,234.39,153.57,468.78,307.14,161.64,0.3448
ITEM0000067,ORD008386,PROD0069,4,0.15,93.42,73.07,317.63,292.28,25.35,0.0798
ITEM0000068,ORD001992,PROD0131,1,0.1,50.0,30.69,45.0,30.69,14.31,0.318
ITEM0000069,ORD011708,PROD0170,4,0.0,153.91,111.94,615.64,447.76,167.88,0.2727
ITEM0000070,ORD002282,PROD0075,2,0.05,107.23,61.59,203.74,123.18,80.56,0.3954
ITEM0000071,ORD015275,PROD0009,1,0.05,59.78,43.96,56.79,43.96,12.83,0.2259
ITEM0000072,ORD015512,PROD0072,2,0.15,187.3,137.9,318.41,275.8,42.61,0.1338
ITEM0000073,ORD005586,PROD0095,1,0.0,50.0,39.79,50.0,39.79,10.21,0.2042
ITEM0000074,ORD015188,PROD0166,2,0.1,50.0,25.37,90.0,50.74,39.26,0.4362
ITEM0000075,ORD014679,PROD0047,3,0.1,99.01,67.69,267.33,203.07,64.26,0.2404
ITEM0000076,ORD011603,PROD0166,2,0.0,50.0,25.37,100.0,50.74,49.26,0.4926
ITEM0000077,ORD012052,PROD0132,1,0.0,50.0,38.76,50.0,38.76,11.24,0.2248
ITEM0000078,ORD002560,PROD0101,5,0.2,50.0,25.39,200.0,126.95,73.05,0.3652
ITEM0000079,ORD010425,PROD0178,4,0.2,77.28,51.1,247.3,204.4,42.9,0.1735
ITEM0000080,ORD007120,PROD0099,2,0.05,50.0,32.49,95.0,64.98,30.02,0.316
ITEM0000081,ORD009022,PROD0092,1,0.1,72.3,36.65,65.07,36.65,28.42,0.4368
ITEM0000082,ORD018164,PROD0074,3,0.1,50.0,37.11,135.0,111.33,23.67,0.1753
ITEM0000083,ORD008703,PROD0099,2,0.05,50.0,32.49,95.0,64.98,30.02,0.316
ITEM0000084,ORD001082,PROD0047,3,0.0,99.01,67.69,297.03,203.07,93.96,0.3163
ITEM0000085,ORD007922,PROD0145,2,0.1,206.36,110.58,371.45,221.16,150.29,0.4046
ITEM0000086,ORD006008,PROD0103,4,0.05,97.3,56.35,369.74,225.4,144.34,0.3904
ITEM0000087,ORD003842,PROD0104,1,0.15,117.75,66.96,100.09,66.96,33.13,0.331
ITEM0000088,ORD015687,PROD0140,3,0.2,182.31,100.15,437.54,300.45,137.09,0.3133
ITEM0000089,ORD002481,PROD0124,2,0.0,50.0,40.87,100.0,81.74,18.26,0.1826
ITEM0000090,ORD017138,PROD0056,1,0.15,135.33,86.25,115.03,86.25,28.78,0.2502
ITEM0000091,ORD015446,PROD0084,3,0.0,50.0,26.17,150.0,78.51,71.49,0.4766
ITEM0000092,ORD006807,PROD0066,1,0.25,72.77,37.04,54.58,37.04,17.54,0.3213
ITEM0000093,ORD008087,PROD0127,1,0.0,50.0,27.26,50.0,27.26,22.74,0.4548
ITEM0000094,ORD017715,PROD0030,2,0.1,50.0,34.43,90.0,68.86,21.14,0.2349
ITEM0000095,ORD010453,PROD0062,2,0.1,59.56,32.11,107.21,64.22,42.99,0.401
ITEM0000096,ORD019949,PROD0088,1,0.0,50.0,36.9,50.0,36.9,13.1,0.262
ITEM0000097,ORD016890,PROD0155,3,0.1,80.46,51.13,217.24,153.39,63.85,0.2939
ITEM0000098,ORD003191,PROD0022,3,0.05,59.22,31.23,168.78,93.69,75.09,0.4449
ITEM0000099,ORD007695,PROD0011,2,0.05,50.0,39.39,95.0,78.78,16.22,0.1707
ITEM0000100,ORD008727,PROD0106,5,0.15,87.77,64.35,373.02,321.75,51.27,0.1375
ITEM0000101,ORD003666,PROD0079,2,0.0,50.0,28.66,100.0,57.32,42.68,0.4268
ITEM0000102,ORD019738,PROD0093,1,0.1,50.0,34.31,45.0,34.31,10.69,0.2376
ITEM0000103,ORD014901,PROD0039,6,0.05,145.43,104.53,828.95,627.18,201.77,0.2434
ITEM0000104,ORD005826,PROD0156,1,0.15,123.92,95.19,105.33,95.19,10.14,0.0963
ITEM0000105,ORD010634,PROD0034,1,0.1,50.0,28.03,45.0,28.03,16.97,0.3771
ITEM0000106,ORD004858,PROD0196,1,0.2,53.91,37.86,43.13,37.86,5.27,0.1221
ITEM0000107,ORD016912,PROD0092,5,0.2,72.3,36.65,289.2,183.25,105.95,0.3664
ITEM0000108,ORD004690,PROD0171,2,0.3,64.85,45.2,90.79,90.4,0.39,0.0043
ITEM0000109,ORD001043,PROD0094,3,0.0,84.6,54.22,253.8,162.66,91.14,0.3591
ITEM0000110,ORD018598,PROD0032,2,0.05,65.27,42.33,124.01,84.66,39.35,0.3173
ITEM0000111,ORD008019,PROD0089,2,0.05,127.62,63.94,242.48,127.88,114.6,0.4726
ITEM0000112,ORD003423,PROD0127,3,0.0,50.0,27.26,150.0,81.78,68.22,0.4548
ITEM0000113,ORD015671,PROD0195,1,0.15,50.0,36.29,42.5,36.29,6.21,0.1461
ITEM0000114,ORD007481,PROD0159,2,0.1,93.32,51.69,167.98,103.38,64.6,0.3846
ITEM0000115,ORD011567,PROD0083,3,0.0,140.64,74.78,421.92,224.34,197.58,0.4683
ITEM0000116,ORD017656,PROD0061,1,0.2,69.3,43.84,55.44,43.84,11.6,0.2092
ITEM0000117,ORD004050,PROD0048,1,0.0,71.92,45.07,71.92,45.07,26.85,0.3733
ITEM0000118,ORD013412,PROD0047,1,0.05,99.01,67.69,94.06,67.69,26.37,0.2803
ITEM0000119,ORD012994,PROD0054,2,0.1,50.0,25.39,90.0,50.78,39.22,0.4358
ITEM0000120,ORD004839,PROD0044,1,0.05,61.74,36.8,58.65,36.8,21.85,0.3726
ITEM0000121,ORD013134,PROD0195,2,0.1,50.0,36.29,90.0,72.58,17.42,0.1936
ITEM0000122,ORD013894,PROD0137,2,0.0,50.0,31.74,100.0,63.48,36.52,0.3652
ITEM0000123,ORD007360,PROD0167,1,0.05,50.0,40.87,47.5,40.87,6.63,0.1396
ITEM0000124,ORD012570,PROD0162,1,0.05,50.0,27.15,47.5,27.15,20.35,0.4284
ITEM0000125,ORD008657,PROD0113,4,0.0,92.79,52.66,371.16,210.64,160.52,0.4325
ITEM0000126,ORD016415,PROD0082,1,0.1,632.1,504.74,568.89,504.74,64.15,0.1128
ITEM0000127,ORD000723,PROD0185,5,0.0,50.0,30.06,250.0,150.3,99.7,0.3988
ITEM0000128,ORD010156,PROD0141,2,0.0,152.83,88.6,305.66,177.2,128.46,0.4203
ITEM0000129,ORD008375,PROD0050,1,0.1,66.83,52.44,60.15,52.44,7.71,0.1281
ITEM0000130,ORD002391,PROD0138,2,0.1,168.35,131.12,303.03,262.24,40.79,0.1346
ITEM0000131,ORD003268,PROD0078,3,0.05,50.0,29.16,142.5,87.48,55.02,0.3861
ITEM0000132,ORD017660,PROD0183,6,0.05,87.79,51.76,500.4,310.56,189.84,0.3794
ITEM0000133,ORD004127,PROD0158,1,0.15,73.52,40.03,62.49,40.03,22.46,0.3594
ITEM0000134,ORD011680,PROD0042,3,0.2,50.0,40.33,120.0,120.99,-0.99,-0.0082
ITEM0000135,ORD012331,PROD0030,1,0.25,50.0,34.43,37.5,34.43,3.07,0.0819
ITEM0000136,ORD015812,PROD0025,4,0.15,62.09,45.3,211.11,181.2,29.91,0.1417
ITEM0000137,ORD003658,PROD0188,1,0.05,50.0,32.31,47.5,32.31,15.19,0.3198
ITEM0000138,ORD005886,PROD0069,5,0.15,93.42,73.07,397.04,365.35,31.69,0.0798
ITEM0000139,ORD008776,PROD0093,1,0.05,50.0,34.31,47.5,34.31,13.19,0.2777
ITEM0000140,ORD014361,PROD0112,2,0.05,93.66,64.72,177.95,129.44,48.51,0.2726
ITEM0000141,ORD004596,PROD0113,2,0.1,92.79,52.66,167.02,105.32,61.7,0.3694
ITEM0000142,ORD000285,PROD0062,2,0.1,59.56,32.11,107.21,64.22,42.99,0.401
ITEM0000143,ORD013866,PROD0098,2,0.1,50.0,39.15,90.0,78.3,11.7,0.13
ITEM0000144,ORD005127,PROD0195,1,0.1,50.0,36.29,45.0,36.29,8.71,0.1936
ITEM0000145,ORD007405,PROD0104,6,0.0,117.75,66.96,706.5,401.76,304.74,0.4313
ITEM0000146,ORD003109,PROD0070,2,0.0,50.0,30.72,100.0,61.44,38.56,0.3856
ITEM0000147,ORD016845,PROD0041,2,0.05,143.7,71.87,273.03,143.74,129.29,0.4735
ITEM0000148,ORD001766,PROD0029,1,0.05,62.56,50.25,59.43,50.25,9.18,0.1545
ITEM0000149,ORD010998,PROD0180,1,0.1,50.0,27.92,45.0,27.92,17.08,0.3796
ITEM0000150,ORD009815,PROD0186,1,0.1,232.12,145.64,208.91,145.64,63.27,0.3029
ITEM0000151,ORD011969,PROD0188,1,0.1,50.0,32.31,45.0,32.31,12.69,0.282
ITEM0000152,ORD018888,PROD0054,1,0.05,50.0,25.39,47.5,25.39,22.11,0.4655
ITEM0000153,ORD018444,PROD0184,2,0.2,118.93,72.66,190.29,145.32,44.97,0.2363
ITEM0000154,ORD004238,PROD0132,2,0.15,50.0,38.76,85.0,77.52,7.48,0.088
ITEM0000155,ORD003621,PROD0031,3,0.1,67.69,40.86,182.76,122.58,60.18,0.3293
ITEM0000156,ORD006699,PROD0055,4,0.0,50.0,32.89,200.0,131.56,68.44,0.3422
ITEM0000157,ORD012108,PROD0052,2,0.1,50.0,25.63,90.0,51.26,38.74,0.4304
ITEM0000158,ORD017168,PROD0176,3,0.15,242.96,158.33,619.55,474.99,144.56,0.2333
ITEM0000159,ORD015860,PROD0153,2,0.2,79.67,57.03,127.47,114.06,13.41,0.1052
ITEM0000160,ORD008231,PROD0109,1,0.05,234.39,153.57,222.67,153.57,69.1,0.3103
ITEM0000161,ORD002212,PROD0177,2,0.3,60.05,42.86,84.07,85.72,-1.65,-0.0196
ITEM0000162,ORD018643,PROD0147,1,0.05,97.88,77.77,92.99,77.77,15.22,0.1636
ITEM0000163,ORD001887,PROD0193,2,0.05,50.0,28.62,95.0,57.24,37.76,0.3975
ITEM0000164,ORD011916,PROD0095,3,0.1,50.0,39.79,135.0,119.37,15.63,0.1158
ITEM0000165,ORD010248,PROD0078,2,0.05,50.0,29.16,95.0,58.32,36.68,0.3861
ITEM0000166,ORD018118,PROD0048,2,0.1,71.92,45.07,129.46,90.14,39.32,0.3037
ITEM0000167,ORD001583,PROD0157,3,0.1,328.74,269.33,887.6,807.99,79.61,0.0897
ITEM0000168,ORD007746,PROD0069,2,0.2,93.42,73.07,149.47,146.14,3.33,0.0223
ITEM0000169,ORD019599,PROD0121,1,0.1,176.55,131.7,158.9,131.7,27.2,0.1712
ITEM0000170,ORD015393,PROD0164,6,0.05,50.0,38.06,285.0,228.36,56.64,0.1987
ITEM0000171,ORD005646,PROD0039,2,0.05,145.43,104.53,276.32,209.06,67.26,0.2434
ITEM0000172,ORD004775,PROD0008,1,0.05,78.39,39.25,74.47,39.25,35.22,0.4729
ITEM0000173,ORD016615,PROD0148,2,0.05,67.87,53.94,128.95,107.88,21.07,0.1634
ITEM0000174,ORD005012,PROD0151,4,0.15,298.38,204.27,1014.49,817.08,197.41,0.1946
ITEM0000175,ORD014486,PROD0088,2,0.15,50.0,36.9,85.0,73.8,11.2,0.1318
ITEM0000176,ORD000317,PROD0158,2,0.15,73.52,40.03,124.98,80.06,44.92,0.3594
ITEM0000177,ORD016529,PROD0072,3,0.05,187.3,137.9,533.81,413.7,120.11,0.225
ITEM0000178,ORD002298,PROD0068,2,0.05,50.0,40.85,95.0,81.7,13.3,0.14
ITEM0000179,ORD015391,PROD0003,2,0.05,117.9,89.08,224.01,178.16,45.85,0.2047
ITEM0000180,ORD016950,PROD0027,1,0.05,55.97,35.48,53.17,35.48,17.69,0.3327
ITEM0000181,ORD003040,PROD0116,2,0.2,180.36,136.28,288.58,272.56,16.02,0.0555
ITEM0000182,ORD014439,PROD0062,4,0.2,59.56,32.11,190.59,128.44,62.15,0.3261
ITEM0000183,ORD005517,PROD0148,1,0.0,67.87,53.94,67.87,53.94,13.93,0.2052
ITEM0000184,ORD005878,PROD0030,3,0.1,50.0,34.43,135.0,103.29,31.71,0.2349
ITEM0000185,ORD004098,PROD0147,2,0.05,97.88,77.77,185.97,155.54,30.43,0.1636
ITEM0000186,ORD009525,PROD0074,3,0.15,50.0,37.11,127.5,111.33,16.17,0.1268
ITEM0000187,ORD011853,PROD0120,3,0.15,50.0,34.57,127.5,103.71,23.79,0.1866
ITEM0000188,ORD006414,PROD0108,1,0.0,50.0,27.71,50.0,27.71,22.29,0.4458
ITEM0000189,ORD010362,PROD0172,3,0.05,50.0,37.17,142.5,111.51,30.99,0.2175
ITEM0000190,ORD019229,PROD0021,4,0.05,105.02,61.73,399.08,246.92,152.16,0.3813
ITEM0000191,ORD003825,PROD0049,3,0.15,50.0,36.9,127.5,110.7,16.8,0.1318
ITEM0000192,ORD009877,PROD0043,2,0.1,50.0,29.9,90.0,59.8,30.2,0.3356
ITEM0000193,ORD006442,PROD0024,3,0.0,134.86,95.09,404.58,285.27,119.31,0.2949
ITEM0000194,ORD018235,PROD0126,3,0.15,50.52,33.23,128.83,99.69,29.14,0.2262
ITEM0000195,ORD003777,PROD0136,2,0.2,50.0,38.39,80.0,76.78,3.22,0.0402
ITEM0000196,ORD001516,PROD0131,2,0.15,50.0,30.69,85.0,61.38,23.62,0.2779
ITEM0000197,ORD014276,PROD0129,1,0.25,134.68,110.08,101.01,110.08,-9.07,-0.0898
ITEM0000198,ORD019316,PROD0099,2,0.1,50.0,32.49,90.0,64.98,25.02,0.278
ITEM0000199,ORD001799,PROD0080,2,0.05,50.0,38.77,95.0,77.54,17.46,0.1838
ITEM0000200,ORD003275,PROD0082,3,0.15,632.1,504.74,1611.86,1514.22,97.64,0.0606
ITEM0000201,ORD009355,PROD0129,3,0.05,134.68,110.08,383.84,330.24,53.6,0.1396
ITEM0000202,ORD004238,PROD0167,1,0.05,50.0,40.87,47.5,40.87,6.63,0.1396
ITEM0000203,ORD013268,PROD0095,5,0.15,50.0,39.79,212.5,198.95,13.55,0.0638
ITEM0000204,ORD012327,PROD0028,5,0.05,138.76,91.43,659.11,457.15,201.96,0.3064
ITEM0000205,ORD008778,PROD0119,2,0.1,79.18,43.33,142.52,86.66,55.86,0.392
ITEM0000206,ORD014500,PROD0131,3,0.15,50.0,30.69,127.5,92.07,35.43,0.2779
ITEM0000207,ORD002169,PROD0185,3,0.15,50.0,30.06,127.5,90.18,37.32,0.2927
ITEM0000208,ORD015851,PROD0068,4,0.15,50.0,40.85,170.0,163.4,6.6,0.0388
ITEM0000209,ORD017208,PROD0017,1,0.0,50.0,30.6,50.0,30.6,19.4,0.388
ITEM0000210,ORD009370,PROD0146,2,0.05,50.0,38.15,95.0,76.3,18.7,0.1968
ITEM0000211,ORD016446,PROD0135,1,0.05,87.37,53.75,83.0,53.75,29.25,0.3524
ITEM0000212,ORD018388,PROD0083,1,0.2,140.64,74.78,112.51,74.78,37.73,0.3354
ITEM0000213,ORD014719,PROD0083,4,0.2,140.64,74.78,450.05,299.12,150.93,0.3354
ITEM0000214,ORD011087,PROD0073,6,0.05,80.71,55.87,460.05,335.22,124.83,0.2713
ITEM0000215,ORD001844,PROD0078,3,0.0,50.0,29.16,150.0,87.48,62.52,0.4168
ITEM0000216,ORD005939,PROD0004,2,0.0,88.05,44.87,176.1,89.74,86.36,0.4904
ITEM0000217,ORD007790,PROD0151,3,0.05,298.38,204.27,850.38,612.81,237.57,0.2794
ITEM0000218,ORD016524,PROD0048,5,0.1,71.92,45.07,323.64,225.35,98.29,0.3037
ITEM0000219,ORD008675,PROD0166,1,0.2,50.0,25.37,40.0,25.37,14.63,0.3657
ITEM0000220,ORD019149,PROD0114,2,0.05,110.74,75.02,210.41,150.04,60.37,0.2869
ITEM0000221,ORD018387,PROD0113,2,0.15,92.79,52.66,157.74,105.32,52.42,0.3323
ITEM0000222,ORD001160,PROD0123,1,0.0,50.0,26.96,50.0,26.96,23.04,0.4608
ITEM0000223,ORD005931,PROD0142,4,0.05,54.01,31.46,205.24,125.84,79.4,0.3869
ITEM0000224,ORD018344,PROD0194,3,0.2,50.49,38.74,121.18,116.22,4.96,0.0409
ITEM0000225,ORD011398,PROD0146,3,0.2,50.0,38.15,120.0,114.45,5.55,0.0463
ITEM0000226,ORD017020,PROD0131,1,0.05,50.0,30.69,47.5,30.69,16.81,0.3539
ITEM0000227,ORD003102,PROD0035,1,0.1,50.0,25.85,45.0,25.85,19.15,0.4256
ITEM0000228,ORD002991,PROD0119,6,0.05,79.18,43.33,451.33,259.98,191.35,0.424
ITEM0000229,ORD016289,PROD0063,1,0.05,61.0,37.51,57.95,37.51,20.44,0.3527
ITEM0000230,ORD005219,PROD0007,1,0.3,161.81,120.29,113.27,120.29,-7.02,-0.062
ITEM0000231,ORD008358,PROD0090,2,0.3,50.0,39.53,70.0,79.06,-9.06,-0.1294
ITEM0000232,ORD002560,PROD0078,3,0.2,50.0,29.16,120.0,87.48,32.52,0.271
ITEM0000233,ORD005559,PROD0060,2,0.2,50.0,33.91,80.0,67.82,12.18,0.1523
ITEM0000234,ORD004628,PROD0102,1,0.0,92.61,56.5,92.61,56.5,36.11,0.3899
ITEM0000235,ORD012855,PROD0046,2,0.2,50.0,37.66,80.0,75.32,4.68,0.0585
ITEM0000236,ORD005006,PROD0133,2,0.1,176.2,117.46,317.16,234.92,82.24,0.2593
ITEM0000237,ORD012970,PROD0168,3,0.25,186.6,96.37,419.85,289.11,130.74,0.3114
ITEM0000238,ORD008105,PROD0138,1,0.05,168.35,131.12,159.93,131.12,28.81,0.1802
ITEM0000239,ORD017453,PROD0175,3,0.05,54.14,42.82,154.3,128.46,25.84,0.1675
ITEM0000240,ORD007351,PROD0025,1,0.15,62.09,45.3,52.78,45.3,7.48,0.1417
ITEM0000241,ORD004545,PROD0079,1,0.1,50.0,28.66,45.0,28.66,16.34,0.3631
ITEM0000242,ORD011845,PROD0099,1,0.05,50.0,32.49,47.5,32.49,15.01,0.316
ITEM0000243,ORD009803,PROD0107,2,0.1,51.05,30.21,91.89,60.42,31.47,0.3425
ITEM0000244,ORD000814,PROD0192,5,0.05,50.0,26.16,237.5,130.8,106.7,0.4493
ITEM0000245,ORD002705,PROD0114,5,0.15,110.74,75.02,470.64,375.1,95.54,0.203
ITEM0000246,ORD000135,PROD0073,1,0.1,80.71,55.87,72.64,55.87,16.77,0.2309
ITEM0000247,ORD005707,PROD0050,1,0.15,66.83,52.44,56.81,52.44,4.37,0.0768
ITEM0000248,ORD014411,PROD0163,2,0.25,62.95,44.91,94.43,89.82,4.61,0.0488
ITEM0000249,ORD005895,PROD0040,1,0.15,50.0,30.64,42.5,30.64,11.86,0.2791
ITEM0000250,ORD019325,PROD0067,3,0.05,67.01,47.53,190.98,142.59,48.39,0.2534
ITEM0000251,ORD006386,PROD0104,3,0.15,117.75,66.96,300.26,200.88,99.38,0.331
ITEM0000252,ORD014145,PROD0197,2,0.1,110.11,67.58,198.2,135.16,63.04,0.3181
ITEM0000253,ORD012938,PROD0014,2,0.05,60.81,40.32,115.54,80.64,34.9,0.3021
ITEM0000254,ORD003865,PROD0122,1,0.1,58.13,30.93,52.32,30.93,21.39,0.4088
ITEM0000255,ORD002286,PROD0021,2,0.05,105.02,61.73,199.54,123.46,76.08,0.3813
ITEM0000256,ORD014171,PROD0080,1,0.2,50.0,38.77,40.0,38.77,1.23,0.0307
ITEM0000257,ORD018375,PROD0115,1,0.0,50.0,29.87,50.0,29.87,20.13,0.4026
ITEM0000258,ORD007126,PROD0026,2,0.2,168.8,134.47,270.08,268.94,1.14,0.0042
ITEM0000259,ORD010093,PROD0004,2,0.05,88.05,44.87,167.3,89.74,77.55,0.4636
ITEM0000260,ORD009068,PROD0013,4,0.05,114.05,62.92,433.39,251.68,181.71,0.4193
ITEM0000261,ORD000515,PROD0096,2,0.1,156.16,78.83,281.09,157.66,123.43,0.4391
ITEM0000262,ORD004590,PROD0039,3,0.0,145.43,104.53,436.29,313.59,122.7,0.2812
ITEM0000263,ORD014724,PROD0050,2,0.05,66.83,52.44,126.98,104.88,22.1,0.174
ITEM0000264,ORD009644,PROD0160,1,0.0,426.79,220.08,426.79,220.08,206.71,0.4843
ITEM0000265,ORD011001,PROD0199,2,0.0,50.0,27.73,100.0,55.46,44.54,0.4454
ITEM0000266,ORD009925,PROD0081,2,0.1,54.53,33.12,98.15,66.24,31.91,0.3251
ITEM0000267,ORD000728,PROD0142,2,0.15,54.01,31.46,91.82,62.92,28.9,0.3147
ITEM0000268,ORD011857,PROD0025,3,0.05,62.09,45.3,176.96,135.9,41.06,0.232
ITEM0000269,ORD016414,PROD0021,1,0.0,105.02,61.73,105.02,61.73,43.29,0.4122
ITEM0000270,ORD005353,PROD0104,3,0.1,117.75,66.96,317.92,200.88,117.05,0.3682
ITEM0000271,ORD003988,PROD0082,4,0.1,632.1,504.74,2275.56,2018.96,256.6,0.1128
ITEM0000272,ORD009497,PROD0090,1,0.2,50.0,39.53,40.0,39.53,0.47,0.0117
